r non-Coulombic_BLPS full_BLPS
   0.0000010000 1000001.5451081210    1.5451081210
   3.9800000000    0.0021980587   -0.2490582227
   3.9900000000    0.0020639340   -0.2485626324
   4.0000000000    0.0019297314   -0.2480702686
   4.0100000000    0.0017956204   -0.2475809382
   4.0200000000    0.0016617671   -0.2470944518
   4.0300000000    0.0015283343   -0.2466106235
   4.0400000000    0.0013954808   -0.2461292717
   4.0500000000    0.0012633620   -0.2456502183
   4.0600000000    0.0011321294   -0.2451732893
   4.0700000000    0.0010019307   -0.2446983150
   4.0800000000    0.0008729094   -0.2442251299
   4.0900000000    0.0007452051   -0.2437535724
   4.1000000000    0.0006189534   -0.2432834856
   4.1100000000    0.0004942855   -0.2428147170
   4.1200000000    0.0003713283   -0.2423471183
   4.1300000000    0.0002502047   -0.2418805459
   4.1400000000    0.0001310329   -0.2414148608
   4.1500000000    0.0000139270   -0.2409499284
   4.1600000000   -0.0001010037   -0.2404856191
   4.1700000000   -0.0002136541   -0.2400218076
   4.1800000000   -0.0003239236   -0.2395583733
   4.1900000000   -0.0004317164   -0.2390952009
   4.2000000000   -0.0005369410   -0.2386321791
   4.2100000000   -0.0006395106   -0.2381692019
   4.2200000000   -0.0007393430   -0.2377061677
   4.2300000000   -0.0008363605   -0.2372429799
   4.2400000000   -0.0009304900   -0.2367795466
   4.2500000000   -0.0010216631   -0.2363157808
   4.2600000000   -0.0011098157   -0.2358515998
   4.2700000000   -0.0011948886   -0.2353869260
   4.2800000000   -0.0012768271   -0.2349216869
   4.2900000000   -0.0013555808   -0.2344558139
   4.3000000000   -0.0014311039   -0.2339892435
   4.3100000000   -0.0015033553   -0.2335219168
   4.3200000000   -0.0015722981   -0.2330537795
   4.3300000000   -0.0016378998   -0.2325847820
   4.3400000000   -0.0017001324   -0.2321148789
   4.3500000000   -0.0017589721   -0.2316440296
   4.3600000000   -0.0018143996   -0.2311721977
   4.3700000000   -0.0018663995   -0.2306993515
   4.3800000000   -0.0019149607   -0.2302254630
   4.3900000000   -0.0019600763   -0.2297505091
   4.4000000000   -0.0020017434   -0.2292744707
   4.4100000000   -0.0020399631   -0.2287973327
   4.4200000000   -0.0020747404   -0.2283190843
   4.4300000000   -0.0021060840   -0.2278397183
   4.4400000000   -0.0021340067   -0.2273592319
   4.4500000000   -0.0021585248   -0.2268776259
   4.4600000000   -0.0021796582   -0.2263949048
   4.4700000000   -0.0021974304   -0.2259110769
   4.4800000000   -0.0022118684   -0.2254261541
   4.4900000000   -0.0022230025   -0.2249401517
   4.5000000000   -0.0022308664   -0.2244530887
   4.5100000000   -0.0022354970   -0.2239649871
   4.5200000000   -0.0022369343   -0.2234758723
   4.5300000000   -0.0022352211   -0.2229857730
   4.5400000000   -0.0022304036   -0.2224947207
   4.5500000000   -0.0022225303   -0.2220027501
   4.5600000000   -0.0022116529   -0.2215098986
   4.5700000000   -0.0021978257   -0.2210162064
   4.5800000000   -0.0021811052   -0.2205217165
   4.5900000000   -0.0021615508   -0.2200264745
   4.6000000000   -0.0021392238   -0.2195305281
   4.6100000000   -0.0021141880   -0.2190339277
   4.6200000000   -0.0020865094   -0.2185367259
   4.6300000000   -0.0020562560   -0.2180389774
   4.6400000000   -0.0020234978   -0.2175407392
   4.6500000000   -0.0019883064   -0.2170420698
   4.6600000000   -0.0019507553   -0.2165430300
   4.6700000000   -0.0019109198   -0.2160436821
   4.6800000000   -0.0018688764   -0.2155440901
   4.6900000000   -0.0018247034   -0.2150443196
   4.7000000000   -0.0017784801   -0.2145444375
   4.7100000000   -0.0017302872   -0.2140445122
   4.7200000000   -0.0016802065   -0.2135446132
   4.7300000000   -0.0016283314   -0.2130448219
   4.7400000000   -0.0015747242   -0.2125451883
   4.7500000000   -0.0015194801   -0.2120457959
   4.7600000000   -0.0014626845   -0.2115467181
   4.7700000000   -0.0014044228   -0.2110480286
   4.7800000000   -0.0013447716   -0.2105497925
   4.7900000000   -0.0012838383   -0.2100521056
   4.8000000000   -0.0012216996   -0.2095550329
   4.8100000000   -0.0011584427   -0.2090586506
