q non-Coulombic_BLPS full_BLPS
   1.1340000000   20.3343696360   10.5623629621
   1.1370000000   20.2947721078   10.5742647207
   1.1400000000   20.2551403334   10.5857261950
   1.1430000000   20.2154746909   10.5967520202
   1.1460000000   20.1757755519   10.6073467698
   1.1490000000   20.1360432826   10.6175149567
   1.1520000000   20.0962782435   10.6272610344
   1.1550000000   20.0564807902   10.6365893981
   1.1580000000   20.0166512731   10.6455043860
   1.1610000000   19.9767900385   10.6540102804
   1.1640000000   19.9368974283   10.6621113086
   1.1670000000   19.8969737807   10.6698116446
   1.1700000000   19.8570194305   10.6771154095
   1.1730000000   19.8170347095   10.6840266732
   1.1760000000   19.7770199466   10.6905494552
   1.1790000000   19.7369754686   10.6966877258
   1.1820000000   19.6969016003   10.7024454072
   1.1850000000   19.6567986648   10.7078263745
   1.1880000000   19.6166669841   10.7128344569
   1.1910000000   19.5765068795   10.7174734385
   1.1940000000   19.5363186715   10.7217470597
   1.1970000000   19.4961026808   10.7256590178
   1.2000000000   19.4558592283   10.7292129684
   1.2030000000   19.4155886356   10.7324125261
   1.2060000000   19.3752912246   10.7352612650
   1.2090000000   19.3349673204   10.7377627222
   1.2120000000   19.2946172480   10.7399203948
   1.2150000000   19.2542413351   10.7417377436
   1.2180000000   19.2138399116   10.7432181931
   1.2210000000   19.1734133104   10.7443651327
   1.2240000000   19.1329618672   10.7451819172
   1.2270000000   19.0924859210   10.7456718681
   1.2300000000   19.0519858146   10.7458382739
   1.2330000000   19.0114618855   10.7456843825
   1.2360000000   18.9709145041   10.7452134390
   1.2390000000   18.9303440155   10.7444286288
   1.2420000000   18.8897507882   10.7433331262
   1.2450000000   18.8491351684   10.7419300496
   1.2480000000   18.8084974781   10.7402224596
   1.2510000000   18.7678382400   10.7382135852
   1.2540000000   18.7271577426   10.7359063885
   1.2570000000   18.6864563782   10.7333039036
   1.2600000000   18.6457345361   10.7304091302
   1.2630000000   18.6049925016   10.7272249331
   1.2660000000   18.5642308725   10.7237544592
   1.2690000000   18.5234499433   10.7200005215
   1.2720000000   18.4826502424   10.7159661378
   1.2750000000   18.4418320823   10.7116540804
   1.2780000000   18.4009959277   10.7070672452
   1.2810000000   18.3601422240   10.7022084800
   1.2840000000   18.3192714062   10.6970805948
   1.2870000000   18.2783839275   10.6916863895
   1.2900000000   18.2374802446   10.6860286406
   1.2930000000   18.1965608211   10.6801101043
   1.2960000000   18.1556261269   10.6739335172
   1.2990000000   18.1146766318   10.6675015891
   1.3020000000   18.0737128320   10.6608170304
   1.3050000000   18.0327352105   10.6538825135
   1.3080000000   17.9917442687   10.6467007034
   1.3110000000   17.9507404977   10.6392742304
   1.3140000000   17.9097244178   10.6316057297
   1.3170000000   17.8686965253   10.6236977882
   1.3200000000   17.8276573537   10.6155530066
   1.3230000000   17.7866074247   10.6071739500
   1.3260000000   17.7455472689   10.5985631695
   1.3290000000   17.7044774219   10.5897231984
   1.3320000000   17.6633984245   10.5806565529
   1.3350000000   17.6223108222   10.5713657314
   1.3380000000   17.5812151649   10.5618532152
   1.3410000000   17.5401120069   10.5521214680
   1.3440000000   17.4990019066   10.5421729366
   1.3470000000   17.4578854258   10.5320100502
